term,abbreviation,synonyms,related,definition,audience,images,uuid
dual-energy X-ray absorptiometry,DXA,Bone Density Test,Osteoporosis,"A test that uses low-dose x-rays to measure bone mineral density, including calcium content, in a section of bone. Dual energy x-ray absorptiometry (DXA) scans are used to detect osteoporosis and predict the risk of bone fracture.",,,8b0a1560-33e9-4720-bb91-07105882c82d
dual-tropic virus,,,"CCR5, CD4 T lymphocyte, CXCR4, dual/mixed tropic virus, R5-tropic virus, X4-tropic virus","A strain of HIV that can enter and infect a host CD4 cell by attaching to either the CCR5 or CXCR4 coreceptor on the CD4 cell. To enter a CD4 cell, HIV must first attach to a CD4 receptor, then attach to either the CCR5 or CXCR4 coreceptor, and finally fuse its membrane with the CD4 cell membrane. HIV is usually R5-tropic (uses CCR5) during the early stages of infection, but the virus may later switch to using either only CXCR4 (X4-tropic) or both CCR5 and CXCR4 (dual-tropic).",Advanced,https://aidsinfo.nih.gov/images/glossaryimages/Dual-Tropic-Virus-600.jpg,92a147cb-7ca0-4f68-9b89-9edf727cbec8
enzyme-linked immunosorbent assay,ELISA,enzyme immunoassay,"antibody, western blot","A laboratory test to detect the presence of HIV antibodies in the blood, oral fluid, or urine. The immune system responds to HIV infection by producing HIV antibodies. A positive result on an enzyme-linked immunosorbent assay (ELISA) must be confirmed by a second, different antibody test (a positive Western blot) for a person to be definitively diagnosed with HIV infection.",Advanced,,22099a8c-98b6-408e-a1bf-7e9f1ee3ce59
dyslipidemia,,,Hyperlipidemia,"Abnormal levels of lipids (fats), including cholesterol and triglycerides, in the blood. Dyslipidemia can refer to either decreased or elevated levels of lipids. Dyslipidemia may be an adverse effect of some anti-retroviral (ARV) drugs.",,,072b8380-4638-45f0-a069-9e48cb22f81c
dysplasia,,Intraepithelial Neoplasia (IN),,"Abnormal growth or development of cells, tissues, or organs.",,,430e44fe-e7be-4824-a1c0-18590b81d729
dyspnea,,,,Difficult or labored breathing or shortness of breath.,,,bb7e41ef-c88c-433c-94aa-a91c21814933
ecchymosis,,,,A blue or purplish bruise that results from bleeding under the skin.,,,e644ba5b-54bb-4cc9-98fc-bed9905802e0
edema,,,,Abnormal swelling caused by excess accumulation of fluid in tissues or body cavities.,,,6cf0db65-c175-45da-984d-412a1b74103d
efficacy,,,,Effectiveness of a drug or other medical intervention. Drugs are tested for efficacy to ensure they produce the desired effect on the disease or condition being treated.,,,042e780a-5746-4f4a-8b54-76c9980a7b37
eligibility criteria,,"Exclusion/Inclusion Criteria, Inclusion/Exclusion Criteria","clinical trial, protocol","Factors used to determine whether a person is eligible (inclusion criteria) or not eligible (exclusion criteria) to participate in a clinical trial. Eligibility criteria may include disease type and stage, other medical conditions, previous treatment history, age, and gender.",,,66b2dce4-0573-4fb0-a3d8-9e2ac1c36ebe
elite controllers,,,viral load,"A very small subset of people infected with HIV who are able to maintain suppressed viral loads for years without anti-retroviral therapy (ART). However, because HIV continues to replicate even in elite controllers, ART is recommended for those rare controllers who have declining CD4 counts or who develop HIV-related complications.",Newly Infected,,17b18fa1-c869-4101-8532-323e926baa2b
embryo,,,,"In humans, an infant developing in the uterus (womb) from conception until about two months after conception.",,,55e5f2c1-2c3d-4a57-9660-d9e5e5b51dd4
encephalitis,,,,"Inflammation of the brain, usually caused by a viral infection. Encephalitis can also be caused by a bacterial infection, toxin, or autoimmune process. Symptoms of encephalitis range from mild, such as flu-like symptoms, to severe, such as seizures. In people with HIV, encephalitis may be due to HIV infection or opportunistic infections, such as Toxoplasma gondii infection.",Advanced,,552b0fd1-7330-4fbf-a29e-8bb9b314ec2e
end-stage liver disease,ESLD,,liver,"The most severe stage of liver disease, at which point the liver is barely functioning, if at all. The treatment for end-stage liver disease (ESLD) is a liver transplant.",,,a2a70a30-5f54-41e2-879e-6eea349b45d5
end-stage renal disease,ESRD,,kidneys,"The most severe stage of kidney (renal) disease, at which point the kidneys are barely functioning, if at all. The treatment for end-stage renal disease (ESRD) is dialysis or a kidney transplant.",,,fa800b2f-aa34-4046-9445-5c42ddf2c7b9
endemic,,,,"When a disease occurs frequently and at a predictable rate in a specific location or population. For example, HIV-2 is endemic to West Africa.",Advanced,,a826893d-3392-457b-86fd-2f79b360595a
enteric,,,,Pertaining to the intestines. Certain bacterial enteric infections are more common or more severe in people with HIV than in people with healthy immune systems.,Advanced,,6a2b4e9b-6131-4cf8-9394-3d5b22d8af5b
enteric-coated,EC,,,"When a tablet or capsule is coated with a substance that prevents the medication from being released until it reaches the small intestine, where it can then be absorbed.",,,e1acac19-f6b6-4397-a9ac-9386a720f6f1
enteritis,,,,Inflammation of the small intestine.,,,df4ba72a-6092-4393-aebd-ebd6f20941b6
entry inhibitor,,,"CCR5 antagonist, fusion inhibitor",An anti-retroviral (ARV) HIV drug class that includes both fusion inhibitors and CCR5 antagonists. Entry inhibitors block HIV from entering a host CD4 cell.,Advanced,,40b410b2-74fc-4ebd-94a8-69f2bdb0c60c
genotypic antiretroviral resistance test,GART,genotypic assay,"phenotypic anti-retroviral resistance test, resistance testing",A type of resistance test that detects drug-resistant mutations in HIV genes. Resistance testing is used to guide selection of an HIV regimen when initiating or changing anti-retroviral therapy (ART).,Advanced,,0eb8e3ca-8102-4c0a-93d0-8ccb5cd2090c
enzyme,,,,"A molecule, usually a protein, that catalyzes (increases the rate of) chemical reactions in the body. Enzymes are essential to all body functions. HIV requires specific enzymes, such as reverse transcriptase or integrase, to replicate.",Advanced,,e7f455f9-0aa4-4f0d-99d3-f4561c336be9
gonorrhea,,the clap,sexually transmitted infection,"A sexually transmitted infection caused by the bacterium Neisseria gonorrhoeae. Gonorrhea can also be transmitted from an infected mother to her child during delivery. Gonorrhea often has mild or no symptoms. However, if left untreated, gonorrhea can lead to infertility, and it can spread into the bloodstream and affect the joints, heart valves, and brain. Gonorrhea increases the risk of sexual transmission of HIV.",Advanced,,950d6710-2afe-40e1-96c6-db253810d34b
eosinophilia,,,,"An abnormal increase of eosinophils (a type of white blood cell) in the blood, tissues, or organs. Eosinophilia is often a response to infection or allergens (substances that cause an allergic reaction).",,,e373ee67-df87-4512-8603-681009a66489
eosinophilic folliculitis,EF,,,"A rare, severe type of folliculitis (inflammation of hair follicles) characterized by itchy bumps or pus-filled sores on the face, chest, back, or arms. Eosinophilic folliculitis (EF) is mainly associated with advanced HIV infection.",Advanced,,c7be69de-9560-4899-8291-379d12c56dc1
epidemic,,,,A widespread outbreak of a disease in a large number of individuals over a particular period of time either in a given area or among a specific group of people.,,,ab950d88-fda9-4e83-a50d-c75dbd7404f8
epidemiology,,,,"The study of the distribution, causes, and clinical characteristics of disease or health status in a population.",,,b425dbda-7bf6-4a0c-bf2f-96094da804d5
epithelium,,,,"A protective tissue consisting of one or more layers of cells that line the internal surface of organs and glands and cover the outer surface of the body. In addition to enclosing and protecting body surfaces, certain types of epithelial cells produce mucus or use tiny hairs called cilia to help remove foreign substances.",,,f82cbc9d-83c4-41fd-a6d9-2bbc1e05606c
epitope,,,"antibody, antigen","A specific area on the surface of an antigen that interacts with and binds to specific antibodies. Generally, an antigen has several different epitopes.",,,7591e7de-030c-41d4-95b8-5b5c2eb5f181
Epstein-Barr virus,EBV,,herpesviruses,"A type of herpesvirus that infects B lymphocytes (B cells). Epstein-Barr virus (EBV) infection is usually asymptomatic but may cause mononucleosis (“mono”). In people with suppressed immune systems, EBV is strongly associated with certain cancers, including Burkitt lymphoma, oral hairy leukoplakia, and nasopharyngeal carcinoma.",,,0e8a10bc-0dda-4ceb-8a73-6fdd604b480f
eradication,,,,"The total elimination of a pathogen, such as a bacterium, from the body. Eradication can also refer to the complete elimination of a disease from the world, such as the global eradication of smallpox.",,,b15722d5-01fe-420b-ab6d-15bd6aba176e
erythema,,,,Redness of the skin.,,,688c8ad8-e1c5-470b-af16-37db7456456e
erythema multiforme,,,,"A type of rash usually triggered by viral infections, most often herpes simplex infection and sometimes HIV infection.",Advanced,,bde453b6-fdc9-4d08-9bcb-188b84ebbfca
etiology,,,,The cause of a disease or condition. Etiology may also refer to the branch of medical science that studies the causes of diseases.,,,8ab093ad-a7ca-4a58-b844-6587cce195e4
expanded access,,compassionate use,"Food and Drug Administration, investigational drug",Legal use of an investigational drug outside of a clinical trial to treat a person who has a serious or immediately life-threatening disease and who has no approved treatment options. The Food and Drug Administration (FDA) regulates expanded access to investigational drugs on a case-by-case basis for an individual patient or groups of patients who do not meet criteria to participate in a clinical trial. Drug companies must have permission from the FDA to make an investigational drug available for expanded access.,,,c5caeb95-629c-4bf4-bf98-06453b71fb67
experimental arm,,,"control arm, clinical trial","In a clinical trial, the group of participants that is given the experimental intervention being studied. Outcomes in the experimental arm are compared with those in the control arm to determine any differences, for example, in safety and effectiveness.",,,bf22237d-a023-4945-8acc-eefac7e53283
extensively-drug-resistant tuberculosis,XDR-TB,,"multiple-drug-resistant tuberculosis, mycobacterium tuberculosis, tuberculosis","A relatively rare type of multiple drug resistant tuberculosis (MDR-TB). Extensively drug resistant tuberculosis (XDR-TB) occurs when a Mycobacterium tuberculosis strain becomes resistant to drugs used to treat TB, including the two most effective first-line antibiotics (isoniazid and rifampin) and most of the second-line drugs. XDR-TB progresses more rapidly and is more severe in people coinfected with HIV than in people infected with XDR-TB alone.",Advanced,,dbd216ef-c162-403e-85f5-319776f688a3
false negative,,,false positive,"A negative test result that incorrectly indicates that the condition being tested for is not present when, in fact, the condition is actually present. For example, a false negative HIV test indicates a person does not have HIV when, in fact, the person is infected with HIV.",Advanced,,f0cb8504-ee94-4f90-b9e4-13c47626d740
false positive,,,false negative,"A positive test result that incorrectly indicates that the condition being tested for is present when, in fact, the condition is actually not present. For example, a false positive HIV test indicates a person has HIV when, in fact, the person is not infected with HIV.",Advanced,,180b79a3-5c5b-4a5c-ab6c-eb11073c3e1c
Fanconi syndrome,,,kidneys,"A hereditary or acquired kidney disorder that impairs the reabsorption of electrolytes, glucose, amino acids, and other nutrients into the bloodstream when blood passes through the kidneys. Acquired Fanconi syndrome may be caused by use of certain anti-retroviral (ARV) drugs.",,,74644a32-d4f9-4612-8930-fd54dcc30a7b
fetus,,,,"In humans, an infant developing in the uterus (womb) from about the end of the second month of pregnancy until birth.",,,04d98b5c-83a3-466b-8f03-b0484fa6f552
first-line therapy,,,treatment-naive,"A treatment that is accepted as best for the initial treatment of a condition or disease. The recommended first-line HIV treatment regimens include anti-retroviral (ARV) drugs that are safe, effective, and convenient for most people with HIV who have never taken ARVs before.",Living with HIV,,2482516f-dad6-4a5b-a8d9-bc9301cb3211
fixed-dose combination,,,"adherence, drug class, regimen simplification","Two or more drugs contained in a single dosage form, such as a capsule or tablet. An example of a fixed-dose combination HIV drug is Atripla (a combination of efavirenz, emtricitabine, and tenofovir). By reducing the number of pills a person must take each day, fixed-dose combination drugs can help improve adherence to an HIV treatment regimen.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Fixed-Dose-Combination-600.jpg,c507a040-23ca-497c-be48-3c5b50ceffa1
Food and Drug Administration,FDA,,,"The federal agency responsible for ensuring the safety, effectiveness, and security of human drugs (including vaccines and other biological products for human use), veterinary drugs, and medical devices. The agency also is responsible for the safety and security of our nation’s food supply, cosmetics, dietary supplements, and products that give off electronic radiation, and for regulating tobacco products.",,,faa9018c-5de8-4306-bd9a-b3ace2c4a4a2
formulation,,drug formulation,,"The physical form in which a drug is manufactured or administered. Examples of formulations include tablets, capsules, powders, and oral and injectable solutions. A drug may be available in multiple formulations.",,https://aidsinfo.nih.gov/images/glossaryimages/Formulations-600.jpg,3bd9832c-245d-4cb7-ad67-8329cc101934
fungus,,,,"A plant-like organism that feeds off a living host organism or dead or decaying material. Examples of fungi include mushrooms, yeast, and mold. People with weakened immune systems, including people with HIV, are at a higher risk for fungal infections than people with healthy immune systems.",Advanced,,645e9fa2-50b2-46fb-89cf-59886846beb8
fusion,,,"fusion inhibitor, life cycle","The second of seven steps in the HIV life cycle. After HIV attaches itself to a host CD4 cell, the HIV viral envelope fuses with the CD4 cell membrane. Fusion allows HIV to enter the CD4 cell. Once inside the CD4 cell, the virus releases HIV RNA and HIV enzymes, such as reverse transcriptase and integrase.",Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Fusion-(Step-2)-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg",5e14cde2-9e7b-4ba9-8e32-8ab3461fe3e3
fusion inhibitor,,,"drug class, envelope, fusion",anti-retroviral (ARV) HIV drug class. Fusion inhibitors block the HIV envelope from merging with the host CD4 cell membrane (fusion). This prevents HIV from entering the CD4 cell.,Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Fusion-Inhibitor2-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Fusion-(Step-2)-600.jpg",2f30c97f-5e12-4628-8387-6c85178100e6
gamma globulin,,,antibody,"A group of proteins found in blood plasma. Most antibodies are gamma globulins. Injections of gamma globulin, which contain high levels of antibodies, can be given to boost a person’s immune system.",,,6918c7e1-1f64-4d4b-9838-2666588fe22c
gamma-glutamyl transpeptidase,GGT,,liver function test,"An enzyme found in many organs in the body, including the liver. Gamma-glutamyl transpeptidase may be measured as part of a liver function test.",,,8fce1762-52cd-4957-b094-7e587dd22f23
gastroenteritis,,,,Inflammation of the stomach and intestinal tract.,,,88e804d1-6806-4aa9-92d1-a055666a0097
gastrointestinal,GI,,,"Pertaining to the stomach and intestinal tract. Gastrointestinal (GI) symptoms, such as nausea, vomiting, and diarrhea, may be caused by HIV infection, opportunistic infections, or some anti-retroviral (ARV) drugs.",Advanced,,5717e221-4f20-4926-a599-ed31bb5477f3
gene,,,"deoxyribonucleic acid, genome, protein, ribonucleic acid","The basic physical unit of inheritance. A gene is a short segment of DNA (or in the case of some viruses, RNA) that contains instructions for making proteins.",,,2b4097b7-4291-4739-992f-3ea7c8be8f45
gene therapy,,,gene,"Manipulating genes to treat or prevent disease. Gene therapy techniques being researched include replacing a defective gene with a healthy copy of the gene, repairing an abnormal gene, inactivating an improperly functioning gene, and introducing a new disease-fighting gene.",,,f7252512-2251-4959-931c-3b8b856d9018
generic drug,,,,"A drug that has the same active ingredients, dosage, formulation, safety, strength, route of administration, quality, effectiveness, and intended use as a brand-name drug. For example, ibuprofen is a generic drug that has several manufacturers and brand names, including Advil and Motrin. Generic drugs are usually less expensive than brand-name drugs.",,,de9fe66b-6805-4b45-8a70-a8aaf42ed792
genetic engineering,,,"deoxyribonucleic acid, ribonucleic acid","Using biotechnological techniques to modify an organism by changing its genetic material (DNA or RNA). For example, bacteria can be genetically engineered to produce insulin, which can then be used to treat diabetes.",,,3964902b-973d-40f8-8195-c93ccd5feedf
genital ulcer disease,,,sexually transmitted infection,"Any of several diseases that are characterized by genital sores. Genital ulcer diseases are usually sexually transmitted infections, including genital herpes, syphilis, and chancroid. Genital ulcer diseases increase the risk of sexual transmission of HIV.",Advanced,,a85e31ee-91c1-4cf0-b7ab-3e64f3801ee1
genital warts,,"condyloma acuminatum, venereal warts","human papillomavirus, sexually transmitted infection","A sexually transmitted infection caused by the human papillomavirus (HPV). Genital warts appear as raised pink or flesh-colored bumps on the surface of or the tissue surrounding the vagina, cervix, tip of the penis, or anus.",,,329ab552-feeb-4afa-9d7e-fdbcedd9ed51
genitourinary tract,,"genitourinary system, urogenital system, urogenital tract",,"All organs involved in the production and excretion of urine plus all organs involved with reproduction. Organs of the genitourinary tract include the kidneys, bladder, fallopian tubes, and penis.",,,a7b9ad9e-2d17-41c0-9c01-4889a82f400a
genome,,,"deoxyribonucleic acid, gene, ribonucleic acid","The complete genetic material of an organism, including all of its genes. The genome is contained in a set of chromosomes in humans, a single chromosome in bacteria, and a DNA or RNA molecule in viruses. The HIV genome consists of an RNA molecule and includes nine genes.",Advanced,,c2fe5cca-591a-4875-ba63-c2a9138708cc
gp120,,HIV viral envelope glycoprotein 120,"envelope, life cycle, glycoprotein, fusion","A glycoprotein on the HIV envelope. gp120 binds to a CD4 receptor on a host cell, such as a CD4 T lymphocyte (CD4 cell). This starts the process by which HIV fuses its viral membrane with the host cell membrane and enters the host cell.",Advanced,,97e44f80-c5d5-44c1-abae-0a2f53fabe16
glucose,,"Blood Sugar, Sugar","Diabetes, Hyperglycemia, Insulin Resistance","Blood sugar. Glucose, the main source of fuel for the body, is formed when foods are broken down in the digestive system. After digestion, glucose is absorbed into the bloodstream and then used for cell growth and energy.",,,7746fd22-59cf-4684-b3f4-73fd219e0ccf
glycoprotein,,,,A molecule that consists of a protein plus one or more carbohydrates.,,,511934f9-aede-4d8f-8017-c7ad68745f25
gp160,,HIV viral envelope glycoprotein 160,"gp41, glycoprotein, life cycle, gp120",An HIV glycoprotein. gp160 is a precursor of the HIV envelope glycoproteins gp41 and gp120.,Advanced,,0bb45738-f6e9-4862-b212-2b90ad72580a
gp41,,HIV viral envelope glycoprotein 41,"glycoprotein, life cycle, fusion",A glycoprotein on the HIV envelope. HIV enters a host cell by using gp41 to fuse the HIV envelope with the host cell membrane.,Advanced,,12a8acc1-abb2-4ff8-aedd-9678ce9445ac
granulocytopenia,,agranulocytopenia,granulocyte,"A deficiency or abnormal decrease in the number of granulocytes, a type of white blood cell. Granulocytopenia may be caused by certain bone marrow diseases, chemotherapy, or certain drugs used to treat HIV and opportunistic infections.",Advanced,,3729380e-21b1-497b-bcde-6ec633041aed
Guillain-Barré syndrome,GBS,acute inflammatory demyelinating polyneuropathy,"myelin, peripheral nervous system","A rare acute neurological disorder in which the immune system mistakenly attacks part of the peripheral nervous system. Guillain-Barré syndrome (GBS) primarily destroys the myelin that covers the peripheral nerves, causing the nerve signals to slow down. This damage can result in weakness and sometimes paralysis of the legs, arms, face, and breathing muscles. GBS is often preceded by a bacterial or viral infection and can occur early in the course of HIV infection.",Advanced,,c206f4f2-bc02-44ef-9fea-2feb3e48967c
granulocyte,,,white blood cell,"A type of white blood cell that includes neutrophils, eosinophils, and basophils. Granulocytes help the body fight infection.",,,aa34599d-4764-485e-8dd0-498eba8e9246
granulocyte macrophage-colony stimulating factor,GM-CSF,,"granulocyte, white blood cell","A protein that stimulates white blood cells, especially granulocytes, macrophages, and cells that become platelets, to multiply and mature. A laboratory-produced version of this protein is often used to boost a low white blood cell count.",,,54e28266-9f40-4706-8d82-8b4ef6fd9c31
granulocyte-colony stimulating factor,G-CSF,,"granulocyte, white blood cell","A protein that stimulates neutrophils, which are a type of white blood cell, to multiply and mature. A laboratory-produced version of this protein is used to boost a low neutrophil count.",,,88246ce1-04cb-46c7-96bf-c20b2c1a5ebe
HIV drug assistance program,HDAP,AIDS drug assistance program,,"Federally funded programs that provide medications and other HIV-related services to low-income, uninsured, and underinsured people with HIV/AIDS. Services of AIDS Drug Assistance Programs (ADAPs) are available in all 50 states and U.S. territories.",Newly Infected,,ae2d0ad7-e32d-49be-bf56-7195563a75f4
HIV life cycle,,HIV replication cycle,"assembly, binding, budding, fusion, integration, replication, reverse transcription",The series of steps that HIV follows to multiply in the body. The process begins when HIV encounters a CD4 cell. The seven steps in the HIV life cycle are: 1) binding; 2) fusion; 3) reverse transcription; 4) integration; 5) replication; 6) assembly; and 7) budding.,Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg,df1445b9-54c5-4b55-bdf5-b995780bbf2d
gynecomastia,,,body habitus changes,"Development of larger-than-normal breasts in males. Gynecomastia is due to excess growth of breast tissue, not fat tissue. Gynecomastia is sometimes caused by natural hormonal changes, but it can also be due to use of certain medications, including anti-retroviral (ARV) drugs.",,,06311174-ee6c-4137-9c8d-e691392638bd
half-life,,,,The time it takes a drug to lose half its original concentration or activity after being introduced into the body. Drug half-life is considered when determining drug dosing.,,,89ff2a6a-09db-497c-953e-2ae4e4b2ed22
Health Resources and Services Administration,HRSA,,Ryan White HIV/AIDS program,"The primary federal agency for improving access to health care services for people who are uninsured, isolated, or medically vulnerable. Through its HIV/AIDS bureau, the Health Resources and Services Administration (HRSA) administers the Ryan White HIV/AIDS Program, the largest federal program focused exclusively on HIV/AIDS care.",Advanced,,c49c37d9-3c0f-4835-a9db-80a43e1eae7a
HELLP syndrome,,,,"A rare but life-threatening complication of pregnancy that is characterized by Hemolysis (breakdown of red blood cells), Elevated liver enzyme levels, and a Low Platelet count. HELLP develops late in pregnancy, or sometimes after birth.",,,54cd4bd7-b5cc-49d6-98f8-cd9044dd6b17
hematocrit,,,complete blood count,A laboratory test that measures the percentage of the volume  of red blood cells in whole blood. Hematocrit is normally ordered as part of a complete blood count.,,,fb951b9a-cb27-427c-aa8e-9d26484384c9
hematotoxic,,,,"Poisonous to the blood and to the organs and tissues involved in the production of blood, such as the bone marrow.",,,926454be-e222-49e3-a625-284b50645c22
hematuria,,,,Blood in the urine.,,,5ec8e3d3-6a59-42e6-939d-7c10e90a0624
hemoglobin,,,complete blood count,"A protein in red blood cells that carries oxygen from the lungs to the tissues of the body. Hemoglobin also refers to the hemoglobin test, which is normally ordered as part of a complete blood count.",,,71ba2c8a-3cbe-4cdd-b878-f160d1bcde2f
hemolysis,,,red blood cell,"Destruction of red blood cells. Hemolysis occurs as part of the natural life cycle of red blood cells, or it may be caused by certain conditions or drugs.",,,35766d75-b466-4dca-9abb-3f9cb0ce5ab3
hemophilia,,,,A rare blood clotting disorder that is usually inherited and most often affects males. The main symptom of hemophilia is prolonged bleeding either spontaneously or after an injury or accident.,,,e8e1d78c-1368-472b-bf65-e97bcf886e06
hemorrhage,,,,"Excessive or uncontrollable bleeding from one or more blood vessels. A hemorrhage, which may be internal or external, is often caused by injury or surgical complications or from advanced disease. The use of certain anti-retroviral (ARV) drugs may cause internal hemorrhage.",,,86871e2f-11c3-4290-8a65-cde6335c472b
hepatic,,,liver,Pertaining to the liver.,,,c41c78b1-8661-4493-a234-0bb6fe2547a3
hepatic necrosis,,,liver,Death of liver cells. Hepatic necrosis may be caused by certain anti-retroviral (ARV) drugs.,,,5b9b5b3b-2322-4984-b9f0-97cf64857359
hepatic steatosis,,fatty liver,liver,Excessive accumulation of triglycerides and other fats in liver cells. Use of certain anti-retroviral (ARV) drugs may cause hepatic steatosis.,,,76ea76f7-94f4-454d-bb0f-2765a93ecbb6
hepatitis,,,"hepatitis B virus (HBV) infection, hepatitis C virus (HCV) infection, jaundice, liver","Inflammation of the liver, usually from a viral infection. The most common hepatitis infections are hepatitis A, hepatitis B, and hepatitis C. Hepatitis may also be due to autoimmune disease, alcohol, medications, or toxic agents. Symptoms of hepatitis, if any, can include loss of appetite, nausea and vomiting, and jaundice. Hepatitis can lead to liver damage, liver failure, or cancer. Hepatitis is also often used to refer to the group of viral infections that affect the liver (hepatitis A, B, C, D, and E).",,,0016a270-6607-4f47-a49e-4898aeb03351
hepatitis B virus,HBV,,"hepatitis, opportunistic infection","Infection with the hepatitis B virus (HBV). HBV can be transmitted through blood, semen, or other body fluids during sex or injection-drug use. Because HIV and HBV share the same modes of transmission, people infected with HIV are often also coinfected with HBV. HBV infection progresses more rapidly in people coinfected with HIV than in people infected with HBV alone.",Living with HIV,,c818d147-cf02-4877-b512-df3e2659f049
hepatitis C virus,HCV,,hepatitis,"Infection with the hepatitis C virus (HCV). HCV is usually transmitted through blood and rarely through other body fluids, such as semen. HCV infection progresses more rapidly in people coinfected with HIV than in people infected with HCV alone.",Living with HIV,,3a33464e-b056-4f78-b6a9-4e05be68d65c
hepatomegaly,,,liver,Abnormal enlargement of the liver.,,,48d48675-0396-46a4-b85b-08b6d867aed5
hepatotoxicity,,,liver,"Toxic damage to the liver. Drugs, including anti-retroviral (ARV) drugs, can cause hepatotoxicity.",,,b113d5f4-8ce4-4966-a058-5200eceb751d
herpes simplex virus 1,HSV-1,,"herpesviruses, opportunistic infection","An infection caused by herpes simplex virus 1 (HSV-1) and usually associated with lesions on the lips, mouth, and face. HSV-1 is very contagious and is transmitted by direct contact including sexual contact with someone who is infected (even if lesions are not visible). Treatment cannot completely clear HSV-1 from the body, but antiviral therapy can shorten and prevent outbreaks and reduce the risk of transmission. People with weakened immune systems, such as people with HIV, are more likely to have lesions that spread to other parts of the body than people with healthy immune systems.",Advanced,,6eb72f7a-7271-487e-ab1b-70b2475a7355
herpes simplex virus 2,HSV-2,,"herpesviruses, opportunistic infection","An infection caused by herpes simplex virus 2 (HSV-2) and usually associated with lesions in the genital or anal area. HSV-2 is very contagious and is transmitted by direct contact including sexual contact with someone who is infected (even if lesions are not visible). Treatment cannot eradicate HSV-2 from the body, but antiviral therapy can shorten and prevent outbreaks and reduce the risk of transmission. People with weakened immune systems, such as people with HIV, are more likely to have lesions that spread to other parts of the body than people with healthy immune systems.",Advanced,,35cf1a3b-4105-40ee-9c09-8cfdf3bd4d82
herpesviruses,,human herpesviruses,,"A group of viruses that use DNA as their genetic material. Herpesviruses include herpes simplex viruses 1 and 2 (HSV-1 and -2), varicella zoster virus (VZV or HHV-3), Epstein-Barr virus (EBV or HHV-4), cytomegalovirus (CMV or HHV-5), herpes simplex viruses 6 and 7 (HSV-6 and -7), and Kaposi sarcoma herpesvirus (KSHV or HHV-8).",,,97dab23f-d89e-4db1-a4a4-04043fab9a1d
histoplasmosis,,,"AIDS-defining condition, opportunistic infection","A lung infection caused by the fungus Histoplasma capsulatum. Symptoms include fever, chest pain, and dry cough. In people with weakened immune systems, such as people with HIV, histoplasmosis may spread to other parts of the body, including the brain or gastrointestinal tract. Histoplasmosis (disseminated or extrapulmonary) is an AIDS-defining condition in people with HIV.",Advanced,,7a83cc50-c61d-45d7-a647-ffa452359480
HIV Prevention Trials Network,HPTN,,clinical trial,"A federally funded, worldwide clinical trials network that develops and tests the safety and efficacy of primarily non-vaccine interventions designed to prevent the transmission of HIV.",Advanced,,d4e42288-7201-42a1-987b-62322af2e87e
HIV progression,,,"acquired immunodeficiency syndrome, acute HIV infection, anti-retroviral therapy, chronic HIV infection","The course of HIV infection. HIV is an infection that progresses in three stages: acute HIV infection, chronic HIV infection, and AIDS. During acute infection, HIV multiplies rapidly. As acute HIV infection progresses to chronic HIV infection, HIV multiplies less rapidly and HIV levels drop. However, as chronic HIV infection advances, HIV levels increase and the number of CD4 cells decreases. Declining CD4 cell levels indicate increasing damage to the immune system. anti-retroviral therapy (ART) can prevent HIV from destroying the immune system and advancing to AIDS.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/HIV-Progression-600.jpg,8164d69f-f032-4347-afd6-9980700ed8b4
HIV Vaccine Trials Network,HVTN,,"clinical trial, preventive HIV vaccine",A federally funded international clinical trials network that works towards finding an effective and safe HIV vaccine. HIV vaccine Trials Network (HVTN) conducts clinical trials on preventive HIV vaccines and educates community members on the general science of HIV/AIDS vaccines and associated research methods.,Advanced,,441bbec4-e6e3-4395-9469-c589a4720b80
HIV-1,,,"acquired immunodeficiency syndrome, HIV-2","One of the two types of HIV, the virus that causes AIDS. AIDS is the most advanced stage of HIV infection. HIV-1 is transmitted through direct contact with HIV-infected body fluids, such as blood, semen, and genital secretions, or from an HIV-infected mother to her child during pregnancy, delivery, or breastfeeding (through breast milk). HIV-1 is responsible for the majority of HIV infections worldwide. In the United States, unless otherwise noted, the term “HIV” primarily refers to HIV-1.",Newly Infected,,fecc4ddd-eb79-432c-a7c4-36b026f8e156
HIV-2,,,"acquired immunodeficiency syndrome, HIV-1","One of the two types of HIV, the virus that causes AIDS. AIDS is the most advanced stage of HIV infection. HIV-2 infection is endemic to West Africa. Like HIV-1, HIV-2 is transmitted through direct contact with HIV-infected body fluids, such as blood, semen, and genital secretions, or from an HIV-infected mother to her child during pregnancy, delivery, or breastfeeding (through breast milk). HIV-2 infection generally takes longer to progress to symptomatic HIV/AIDS and has a lower mortality rate than HIV-1 infection.",Newly Infected,,bb7112ed-1f8a-4e60-b885-5d86a4ac1b36
